OBJECTID,CODIGO,COMUNA,BARRIO,NOMBRE_BARRIO,SECTOR,INDICADOR_UR,NOMBRE_COMUNA,SHAPE__Area,SHAPE__Length
279,0906,09,06,Barrio Caicedo,3,U,BUENOS AIRES,214247.349609375,2500.38633951326
280,1421,14,21,Patio Bonito,5,U,EL POBLADO,697627.051757813,4532.22133348585
281,1404,14,04,Castropol,5,U,EL POBLADO,616706.205078125,4031.38352116117
282,0309,03,09,Versalles No. 1,1,U,MANRIQUE,366311.385253906,2931.18030921268
283,1506,15,06,Parque Juan Pablo II,6,U,GUAYABAL,1419098.61279297,6900.3935650707
284,8000,80,00,Cabecera San Antonio de Prado,8,U,SAN ANTONIO DE PRADO,3902609.95947266,15191.5643160306
285,0511,05,11,Castilla,2,U,CASTILLA,569671.122558594,3223.34171456008
286,0516,05,16,Terminal de Transporte,2,U,CASTILLA,288242.076171875,2627.58093490792
287,6002,60,02,La Palma-El Patio,7,R,SAN CRISTOBAL,5456405.62255859,12466.3912375008
288,6098,60,98,Área de Expansión Pajarito,7,,SAN CRISTOBAL,2447350.29199219,9930.05059403808
289,1013,10,13,Barrio Colón,3,U,LA CANDELARIA,365537.200195313,3379.49454383993
290,0517,05,17,Caribe,2,U,CASTILLA,550705.336425781,3367.31977484444
291,0101,01,01,Santo Domingo Savio No. 1,1,U,POPULAR,571430.361816406,3717.92153621784
292,0714,07,14,Bello Horizonte,2,U,ROBLEDO,186981.072753906,2100.70667784582
293,0409,04,09,Manrique Central No. 1,1,U,ARANJUEZ,362390.094238281,2706.64861857008
294,6006,60,06,La Cuchilla,7,R,SAN CRISTOBAL,600926.275878906,5473.8426722526
295,1612,16,12,La Gloria,6,U,BELEN,624583.371582031,3798.21018873995
296,0105,01,05,Moscú No. 2,1,U,POPULAR,312338.541015625,2742.63504953092
297,0204,02,04,La Frontera,1,U,SANTA CRUZ,161373.489746094,1979.82688118002
298,1003,10,03,Jesús Nazareno,3,U,LA CANDELARIA,310705.254394531,2653.01054936048
299,0207,02,07,Villa del Socorro,1,U,SANTA CRUZ,270506.573242188,3128.86596649519
300,0813,08,13,Villatina,3,U,VILLA HERMOSA,415007.398925781,4711.45094634826
301,0210,02,10,Santa Cruz,1,U,SANTA CRUZ,265163.020996094,2651.6090970812
302,0708,07,08,Altamira,2,U,ROBLEDO,376658.543457031,2920.51125181782
303,1108,11,08,Laureles,4,U,LAURELES,721475.017578125,3959.0679266182
304,7087,70,87,Suburbano Altavista,8,R,ALTAVISTA,239058.441894531,5019.19668004542
305,1314,13,14,Las Independencias,4,U,SAN JAVIER,248063.749511719,2306.49399245748
306,0311,03,11,La Cruz,1,U,MANRIQUE,540244.131835938,3624.13173220596
307,0507,05,07,Héctor Abad Gómez,2,U,CASTILLA,245458.8125,3508.37003846259
308,9008,90,08,Piedras Blancas,9,R,SANTA ELENA,11966430.8564453,28512.5233249443
309,1307,13,07,Juan XXIII La Quiebra,4,U,SAN JAVIER,376465.252929688,3029.27492792968
310,9085,90,85,Suburbano El Llano,9,R,SANTA ELENA,571075.331542969,6584.46674200559
311,9084,90,84,Suburbano Santa Elena Central,9,R,SANTA ELENA,378372.391113281,4447.82726021687
312,9079,90,79,Suburbano Piedra Gorda,9,R,SANTA ELENA,164564.24609375,2146.73942626457
313,0602,06,02,Doce de Octubre No.1,2,U,DOCE DE OCTUBRE,452439.901367188,3264.71366564145
314,6013,60,13,El Carmelo,7,R,SAN CRISTOBAL,1356651.43896484,6702.61676286629
315,6014,60,14,Yolombo,7,R,SAN CRISTOBAL,4720926.24316406,10188.5531241576
316,0805,08,05,Batallón Girardot,3,U,VILLA HERMOSA,206279.599609375,2495.59530345727
317,1115,11,15,Cuarta Brigada,4,U,LAURELES,359731.9296875,2927.15818538695
318,1304,13,04,Los Alcázares,4,U,SAN JAVIER,276432.599609375,2854.52143585251
319,1306,13,06,La Pradera,4,U,SAN JAVIER,364112.399414063,3019.43648074848
320,6015,60,15,San José de la Montaña,7,R,SAN CRISTOBAL,6160304.81005859,16038.6429895732
321,1409,14,09,El Tesoro,5,U,EL POBLADO,1176706.09472656,5995.92164564566
322,6012,60,12,El Picacho,7,R,SAN CRISTOBAL,2623655.19042969,11357.6321646902
323,0612,06,12,El Triunfo,2,U,DOCE DE OCTUBRE,91543.4736328125,2050.12353936877
324,0913,09,13,Loreto,3,U,BUENOS AIRES,643335.325683594,3997.7938621271
325,9083,90,83,Suburbano Mirador del Poblado,9,R,SANTA ELENA,788973.646972656,4954.57511978659
326,0505,05,05,Boyacá,2,U,CASTILLA,255060.063476563,2293.30487820937
327,0709,07,09,Córdoba,2,U,ROBLEDO,237059.915527344,2707.49914800855
328,0907,09,07,Buenos Aires,3,U,BUENOS AIRES,298484.52734375,2377.59220445945
329,1209,12,09,Santa Mónica,4,U,LA AMERICA,334695.502441406,2704.49716506021
330,8003,80,03,Potrerito,8,R,SAN ANTONIO DE PRADO,2891607.26660156,14828.6614807041
331,0816,08,16,Villa Turbay,3,U,VILLA HERMOSA,208407.11328125,2304.67838935632
332,1207,12,07,El Danubio,4,U,LA AMERICA,181065.044921875,2333.84680201066
333,1008,10,08,Corazón de Jesús,3,U,LA CANDELARIA,336208.141113281,2417.08945064502
334,1617,16,17,Las Mercedes,6,U,BELEN,379132.704589844,3418.99192186064
335,1414,14,14,El Castillo,5,U,EL POBLADO,735552.928222656,3790.70572906139
336,0809,08,09,Sucre,3,U,VILLA HERMOSA,360673.829589844,2921.0896796722
337,0501,05,01,Toscana,2,U,CASTILLA,275875.841796875,3426.84276623239
