"","CODIGO","NOMBRE_BARRIO","accidentes"
"211",409,"Manrique Central No. 1",12031
"212",307,"Manrique Central No. 2",6397
"213",308,"Manrique Oriental",6397
"214",313,"María Cano Carambolas",6397
"215",9005,"Media Luna",459
"216",1305,"Metropolitano",3695
"217",610,"Mirador del Doce",6030
"218",908,"Miraflores",8003
"219",415,"Miranda",12031
"220",1619,"Miravalle",12873
"221",724,"Monteclaro",14018
"222",405,"Moravia",12031
"223",209,"Moscú No. 1",2838
"224",105,"Moscú No. 2",3082
"225",1103,"Naranjal",22721
"226",6005,"Naranjal",1857
"227",1618,"Nueva Villa de Aburrá",12873
"228",725,"Nueva Villa de la Iguaná",14018
"229",1315,"Nuevos Conquistadores",3695
"230",917,"Ocho de Marzo",8003
"231",722,"Olaya Herrera",14018
"232",512,"Oleoducto",21043
"233",312,"Oriente",6397
"234",203,"Pablo VI",2838
"235",723,"Pajarito",14018
"236",6011,"Pajarito",1857
"237",716,"Palenque",14018
"238",403,"Palermo",12031
"239",5004,"Palmitas Sector Central",11
"240",1506,"Parque Juan Pablo II",15267
"241",417,"Parque Norte",12031
"242",1421,"Patio Bonito",17900
"243",604,"Pedregal",6030
"244",6009,"Pedregal Alto",1857
"245",6010,"Pedregal Bajo",1857
"246",1012,"Perpetuo Socorro",42348
"247",609,"Picachito",6030
"248",608,"Picacho",6030
"249",9012,"Piedra Gorda",459
"250",9008,"Piedras Blancas",459
"251",9011,"Piedras Blancas Represa",459
"252",202,"Playón de Los Comuneros",2838
"253",506,"Plaza de Ferias",21043
"254",103,"Popular",3082
"255",5006,"Potrera Miserenga",11
"256",8003,"Potrerito",3513
"257",1001,"Prado",42348
"258",717,"Robledo",14018
"259",1602,"Rosales",12873
"260",814,"San Antonio",5629
"261",1006,"San Benito",42348
"262",1605,"San Bernardo",12873
"263",1020,"San Diego",42348
"264",703,"San Germán",14018
"265",402,"San Isidro",12031
"266",1309,"San Javier No.1",3695
"267",1308,"San Javier No.2",3695
"268",1104,"San Joaquín",22721
"269",6015,"San José de la Montaña",1857
"270",7089,"San Jose Del Manzanillo",466
"271",314,"San José la Cima No. 1",6397
"272",315,"San José la Cima No.2",6397
"273",1412,"San Lucas",17900
"274",606,"San Martín de Porres",6030
"275",803,"San Miguel",5629
"276",107,"San Pablo",3082
"277",7085,"San Pablo",466
"278",408,"San Pedro",12031
"279",210,"Santa Cruz",2838
"280",9006,"Santa Elena Sector Central",459
"281",1504,"Santa Fé",15267
"282",304,"Santa Inés",6397
"283",1206,"Santa Lucía",6124
"284",720,"Santa Margarita",14018
"285",1423,"Santa María de los Ángeles",17900
"286",1209,"Santa Mónica",6124
"287",1303,"Santa Rosa de Lima",3695
"288",1212,"Santa Teresita",6124
"289",601,"Santander",6030
"290",101,"Santo Domingo Savio No. 1",3082
"291",102,"Santo Domingo Savio No. 2",3082
"292",407,"Sevilla",12031
"293",1211,"Simón Bolívar",6124
"294",9086,"SUBURB El Plan",459
"295",7086,"Suburbano Aguas Frias",466
"296",7087,"Suburbano Altavista",466
"297",9080,"Suburbano Barro Blanco",459
"298",9082,"Suburbano Chacaltaya",459
"299",9078,"Suburbano El Cerro",459
"300",6088,"Suburbano El Llano",1857
"301",9085,"Suburbano El Llano",459
"302",9081,"Suburbano El Placer",459
"303",9077,"Suburbano el Tesoro",459
"304",5088,"Suburbano La Aldea",11
"305",6086,"Suburbano La Cuchilla",1857
"306",6084,"Suburbano La Loma",1857
"307",6085,"Suburbano La Palma-El Patio",1857
"308",9089,"Suburbano Matasano 1",459
"309",9088,"Suburbano Matasano 2",459
"310",9087,"Suburbano Matasano 3",459
